"MLS #","Cat","Status","Address","City","County","Beds","Baths","Structure Type","Status Contractual Search Date","Current Price","List Price","HOA Fee","Building Name","Lot Size Acres","Main Level Bedrooms","Main Level Full Baths","Main Level Half Baths","Municipality","Pool","Price/SqFt","RATIO Close Price By List Price","RATIO Close Price By Original List Price","Selling Office Name","Total SQFT","Year Built","Zip Code","Legal Subdivision","Age","Original List Price","Above Grade Finished SQFT","DOM","List Agent Full Name","Selling Agent Full Name","List Office Name"
"1000194385","RES","CLS","1200 Braddock Pl #211","Alexandria","Alexandria City, VA","2","1/1","Unit/Flat/Apartment","10/06/17","$388,000","$388,000.00","","BRADDOCK PLACE","","2","1","1","","Yes - Community","$387.23","1.00000","0.97000","Keller Williams Realty","1,002","1990","22314","BRADDOCK PLACE","32","$400,000","1,002","53","Lenwood A Johnson","Manuwa S Eligwe","Keller Williams Realty (KWR14)"
"1000156369","RES","CLS","1100 Quaker Hill Dr #401","Alexandria","Alexandria City, VA","2","2/0","Unit/Flat/Apartment","10/06/17","$299,000","$303,000.00","$62.11","QUAKER HILL","","2","2","0","","Yes - Community","$277.62","0.98680","0.99007","Vylla Home","1,077","1991","22314","QUAKER HILL","31","$302,000","1,077","6","Christopher A Wolforth","Olga C Hawkins","KW Metro Center (KWR19)"
"1000156365","RES","CLS","155 Moncure Dr","Alexandria","Alexandria City, VA","3","2/0","Detached","10/06/17","$665,000","$669,000.00","","","0.12","2","1","0","","No Pool","$439.81","0.99402","1.00000","Long & Foster Real Estate, Inc.","1,512","1940","22314","GLENMORE","82","$665,000","1,512","14","John B Lumsden","Elizabeth H Lucchesi","Coldwell Banker Realty (CBRB106)"
"1000156323","RES","CLS","708 Union St S","Alexandria","Alexandria City, VA","4","4/1","Interior Row/Townhouse","10/06/17","$1,156,000","$1,156,000.00","$241.00","FORDS LANDING","0.02","0","0","1","","No Pool","$435.57","1.00000","1.00000","RE/MAX Realty Services","2,654","1990","22314","FORDS LANDING","32","$1,156,000","2,654","6","Diann S Hicks Carlson","Lisa K Coutts","Weichert, REALTORS (WEI58)"
"1000156265","RES","CLS","242 Payne St","Alexandria","Alexandria City, VA","3","1/1","Twin/Semi-Detached","10/10/17","$620,000","$649,000.00","","","0.03","0","0","1","","No Pool","$581.61","0.95532","0.92676","Weichert, REALTORS","1,066","1955","22314","","67","$669,000","1,066","46","Greg Doherty","Christine R Garner","TTR Sotheby's International Realty (TTRS6)"
"1000156385","RES","CLS","214 Prince St","Alexandria","Alexandria City, VA","4","3/1","Interior Row/Townhouse","10/10/17","$1,895,000","$1,895,000.00","","","0.04","0","0","1","","Yes - Personal","$649.86","1.00000","1.00000","McEnearney Associates, Inc.","3,880","1786","22314","","236","$1,895,000","2,916","5","Ann A Duff","Sue S Goodhart","McEnearney Associates, Inc. (MCE1)"
"1000083367","RES","CLS","509 Saint Asaph St S","Alexandria","Alexandria City, VA","2","2/1","End of Row/Townhouse","10/11/17","$620,000","$609,000.00","$350.00","TANNERY YARD","0.02","0","0","1","","No Pool","$582.71","1.01806","1.01806","Weichert, REALTORS","1,064","1976","22314","TANNERY YARD","46","$609,000","1,064","8","Donna J Cramer","Christine R Garner","McEnearney Associates, Inc. (MCE1)"
"1001013145","RES","CLS","220 Lee St S","Alexandria","Alexandria City, VA","3","2/2","Twin/Semi-Detached","10/11/17","$1,550,000","$1,595,000.00","","","0.07","0","0","1","","No Pool","$798.56","0.97179","0.97179","McEnearney Associates, Inc.","2,885","1780","22314","","242","$1,595,000","1,941","3","Eileen McGrath","Colleen Coopersmith","Washington Fine Properties, LLC (WFP1)"
"1000156187","RES","CLS","505 Braddock Rd #106","Alexandria","Alexandria City, VA","1","1/0","Unit/Flat/Apartment","10/13/17","$336,000","$336,000.00","","COLECROFT","","1","1","0","","No Pool","$447.40","1.00000","0.98830","Redfin Corporation","751","1987","22314","COLECROFT","35","$339,977","751","65","John Rumcik","Suvda Villarroel","RE/MAX Gateway (RMAX152)"
"1000183063","RES","CLS","417 Cook St","Alexandria","Alexandria City, VA","3","3/1","Interior Row/Townhouse","10/13/17","$883,500","$949,900.00","$174.07","","0.02","0","0","1","","No Pool","$439.55","0.93010","0.93010","RE/MAX Executives","2,371","2005","22314","CHATHAM SQUARE","17","$949,900","2,010","15","Moon Y Choi","Moon Y Choi","RE/MAX Executives (RMAX202)"
